prompt,tier
What is the capital of Japan?,1
"Extract the phone number from: ""Call us at 555-0192 for support.""",1
"Convert this list into a numbered list: milk, eggs, bread, butter",1
What year did World War II end?,1
"Extract all email addresses from: ""Reach jane@abc.com or support@xyz.com""",1
"Reformat this sentence in title case: ""the quick brown fox jumps""",1
What is the chemical symbol for gold?,1
Convert 3.5 kilometers to meters.,1
"Extract the date from: ""The meeting is scheduled for March 5, 2026.""",1
List the days of the week.,1
"What is the plural of ""cactus""?",1
"Reformat this as a comma-separated list: apples, bananas, cherries",1
"Who wrote ""Romeo and Juliet""?",1
"Extract the price from: ""The item costs $49.99 including tax.""",1
Convert 100 Fahrenheit to Celsius.,1
What is the boiling point of water in Celsius?,1
"Reformat this name as ""Last, First"": John Smith",1
"Extract the username from: ""Contact @janedoe on Twitter.""",1
What is the currency of Japan?,1
"Convert this text to uppercase: ""hello world""",1
How many continents are there?,1
"Extract the order number from: ""Your order #A12345 has shipped.""",1
What is 12 multiplied by 8?,1
Reformat this date to MM/DD/YYYY: 5 March 2026,1
What is the capital of Australia?,1
"Extract the hashtags from: ""Loving this weather! #sunny #spring""",1
Convert 1 mile to kilometers.,1
What is the freezing point of water in Fahrenheit?,1
List the primary colors.,1
"Reformat this address into one line: 123 Main St, Apt 4, Springfield, IL",1
"Summarize this paragraph in 2 sentences: We believe that what you read and write matters. Words can divide or empower us, inspire or discourage us. In a world where the most sensational and surface-level stories often win, we're building a system that rewards depth, nuance, and time well spent. A space for thoughtful conversation more than drive-by takes, and substance over packaging.
Over 100 million people connect and share their wisdom on Medium every month. They're software developers, amateur novelists, product designers, CEOs, and anyone burning with a story they need to get out into the world. They write about what they're working on, what's keeping them up at night, what they've lived through, and what they've learned that the rest of us might want to know too.",2
"Classify this email as spam or not spam: ""Congratulations! You've won a free iPhone, click here to claim.""",2
Summarize the main differences between Python and JavaScript.,2
"Categorize these items into fruits and vegetables: apple, carrot, banana, spinach, orange",2
"Summarize the plot of ""The Great Gatsby"" in 3 sentences.",2
"Classify this review as positive, negative, or neutral: ""The food was okay, service was slow.""",2
Analyze the pros and cons of remote work in a short paragraph.,2
"Summarize this meeting transcript into 3 key action items: Chairman Wormsley (at the proper time and place, after taking the chair and striking the gavel on the table): This meeting of the CTAS County Commission will come to order. Clerk please call the role. (Ensure that a majority of the members are present.)

Chairman Wormsley: Each of you has received the agenda. I will entertain a motion that the agenda be approved.

Commissioner Brown: So moved.

Commissioner Hobbs: Seconded

Chairman Wormsley: It has been moved and seconded that the agenda be approved as received by the members. All those in favor signify by saying ""Aye""?...Opposed by saying ""No""?...The agenda is approved. You have received a copy of the minutes of the last meeting. Are there any corrections or additions to the meeting?

Commissioner McCroskey: Mister Chairman, my name has been omitted from the Special Committee on Indigent Care.

Chairman Wormsley: Thank you. If there are no objections, the minutes will be corrected to include the name of Commissioner McCroskey. Will the clerk please make this correction. Any further corrections? Seeing none, without objection the minutes will stand approved as read.",2
"Classify these animals by habitat: shark, eagle, camel, salmon, lion",2
Compare the nutritional differences between white rice and brown rice.,2
"Summarize this customer complaint and identify the core issue: Dear Customer Support Team,

I am writing to express my disappointment regarding my recent order (#48291) for the Barista Express Espresso Machine, which arrived yesterday, July 24th.

Upon opening the package, I noticed two significant issues:

Physical Damage: The water reservoir on the back of the machine is cracked near the base, making it impossible to hold water without leaking.

Missing Items: The stainless steel milk frothing pitcher listed on the box contents was completely missing from the package.

Given the premium price of this machine, I expected better quality control and packaging. I have attached high-resolution photographs showing the shipping box damage, the cracked reservoir, and the included contents as proof.

Requested Resolution:
Because the machine is unusable in its current state, I request a pre-paid return shipping label and an expedited replacement unit sent out immediately. If a replacement cannot be shipped within 3 business days, please process a full refund to my original payment method.",2
"Classify this news headline by topic: politics, sports, or technology: ""Local team wins championship after dramatic overtime""",2
"Analyze the sentiment of this tweet: ""Can't believe how bad this update is, everything is broken now.""",2
Summarize the key findings of a typical study on sleep and productivity.,2
"Organize these tasks by priority: fix login bug, update README, respond to client email, refactor database schema",2
"Classify this support ticket as billing, technical, or account issue: ""I was charged twice for my subscription this month.""",2
Summarize the differences between renewable and non-renewable energy sources.,2
